한국어,로마자화,영어,일본어,중국어 간체,중국어 번체
갈낙전골,gallakjeongol,Short Rib and Octopus Hot Pot,カルビとテナガダコの寄せ鍋,排骨章鱼火锅,排骨章魚火鍋
해파리냉채,haeparinaengchae,Chilled Jellyfish Salad,クラゲの冷菜,凉拌海蜇,涼拌海蜇
파무침,pamuchim,Green Onion Salad,ねぎの和え物,凉拌葱丝,涼拌蔥絲
파래무침,paraemuchim,Green Laver Salad,青海苔の和え物,凉拌海青菜,涼拌海青菜
청포묵무침,cheongpomungmuchim,Mung Bean Jelly Salad,緑豆こんにゃくの和え物,绿豆凉粉,綠豆涼粉
올챙이묵,olchaengimuk,Corn Starch Noodles,とうもろこし麺,蝌蚪玉米凉粉,蝌蚪玉米涼粉
오징어초무침,ojingeochomuchim,Sweet and Sour Squid Salad,イカ酢の物,醋拌鱿鱼,醋拌魷魚
오징어무침,ojingeomuchim,Squid Salad,イカの和え物,凉拌鱿鱼,涼拌魷魚
오이지무침,oijimuchim,Pickled Cucumber Salad,キュウリの漬物の和え物,凉拌腌黄瓜,涼拌醃黃瓜
오이미역초무침,oimiyeokchomuchim,Sweet and Sour Seaweed Cucumber Salad,キュウリとワカメの酢の物,醋拌黄瓜海带,醋拌黃瓜海帶
오이무침,oimuchim,Cucumber Salad,キュウリの和え物,凉拌黄瓜,涼拌黃瓜
영양부추겉절이,yeongyangbuchugeotjeori,Fresh Chive Kimchi,浅漬けニラ,鲜辣韭菜,鮮辣韭菜
상추겉절이,sangchugeotjeori,Fresh Lettuce Kimchi,サンチュの和え物,鲜辣生菜,鮮辣生菜
북어채무침,bugeochaemuchim,Dried Pollack Strip Salad,干しスケトウダラの和え物,凉拌干明太鱼丝,涼拌幹明太魚絲
부추무침,buchumuchim,Chive Salad,ニラの和え物,凉拌韭菜,涼拌韭菜
무생채,musaengchae,Julienne Radish Fresh Salad,大根の和え物,生拌萝卜丝,生拌蘿蔔絲
무말랭이무침,mumallaengimuchim,Dried Radish Salad,干し大根の和え物,凉拌萝卜干,涼拌蘿蔔乾
메밀묵무침,memilmungmuchim,Buckwheat Jelly Salad,そば粉こんにゃくの和え物,荞麦凉粉,蕎麥涼粉
메밀무침,memilmuchim,Buckwheat Leaf Salad,そばの和え物,凉拌荞麦叶,涼拌蕎麥葉
마늘종무침,maneuljongmuchim,Spicy Garlic Stem Salad,にんにくの茎の和え物,凉拌蒜薹,涼拌蒜薹
두릅초회,dureupchohoe,Parboiled Fatsia Shoot,タラの芽酢の物,白灼刺嫩芽,白灼刺嫩芽
돌미나리무침,dolminarimuchim,Wild Parsley Salad,野芹の和え物,凉拌野生水芹,涼拌野生水芹
도토리묵무침,dotorimungmuchim,Acorn Jelly Salad,どんぐりこんにゃくの和え物,橡子凉粉,橡子涼粉
도토리묵,dotorimuk,Acorn Jelly Salad,どんぐりこんにゃくの和え物,橡子凉粉,橡子涼粉
도라지생채,dorajisaengchae,Bellflower Root Fresh Salad,桔梗の根の和え物,生拌桔梗,生拌桔梗
더덕생채,deodeoksaengchae,Deodeok Fresh Salad,蔓人参の和え物,生拌沙参,生拌沙參
대구포무침,daegupomuchim,Dried Codfish Fillet Salad,干したらの和え物,凉拌鳕鱼干,涼拌鱈魚乾
달래무침,dallaemuchim,Wild Chive Salad,ヒメニラの和え物,凉拌山蒜,涼拌山蒜
노각무침,nogangmuchim,Yellow Cucumber Salad,老いキュウリの和え物,凉拌老黄瓜,涼拌老黃瓜
꼬막무침,kkomangmuchim,Cockle Salad,ハイガイの和え物,凉拌血蚶,涼拌泥蚶
김무침,gimmuchim,Laver Salad,のりの和え物,凉拌紫菜,涼拌紫菜
굴무침,gulmuchim,Oyster Salad,カキの和え物,凉拌牡蛎,涼拌牡蠣
골뱅이무침,golbaengimuchim,Spicy Sea Snails Salad,つぶ貝の和え物,凉拌海螺,涼拌海螺
탕평채,tangpyeongchae,Mung Bean Jelly Salad,ところてんの和え物,荡平菜,蕩平菜
콩나물무침,kongnamulmuchim,Bean Sprout Salad,豆もやしの和え物,凉拌豆芽,涼拌豆芽
취나물,chwinamul,Aster Leaf Salad,シラヤマギクのナムル,凉拌东风菜,涼拌東風菜
참나물,chamnamul,Short-fruit Pimpinella Salad,ヒカゲミツバゼリのナムル,凉拌茴芹,涼拌茴芹
죽순채,juksunchae,Seasoned Bamboo Shoots,竹の子の炒め物,竹笋菜,竹筍菜
잡채,japchae,Stir-fried Glass Noodles andVegetables,チャプチェ,什锦炒粉丝,什錦拌粉絲
쑥갓나물무침,ssukgannamulmuchim,Crown Daisy Salad,春菊のナムルの和え物,凉拌茼蒿,涼拌茼蒿
시래기나물,siraeginamul,Dried Radish Leaf Salad,干し菜っ葉のナムル,凉拌干萝卜缨,涼拌幹蘿蔔纓
시금치나물,sigeumchinamul,Spinach Salad,ほうれん草のナムル,凉拌菠菜,涼拌菠菜
숙주나물,sukjunamul,Mung Bean Sprout Salad,もやしのナムル,凉拌绿豆芽,涼拌綠豆芽
비름나물,bireumnamul,Pigweed Salad,ヒユのナムル,凉拌苋菜,涼拌莧菜
미역초무침,miyeokchomuchim,Sweet and Sour Seaweed Salad,ワカメ酢の物,醋拌海带,醋拌海帶
미나리나물,minarinamul,Water Parsley Salad,セリのナムル,凉拌水芹,涼拌水芹
무나물,munamul,Radish Salad,大根のナムル,凉拌萝卜丝,涼拌蘿蔔絲
도라지나물,dorajinamul,Bellflower Root Salad,桔梗の根のナムル,凉拌桔梗,涼拌桔梗
대하냉채,daehanaengchae,Chilled Prawn Salad,大正海老の冷菜,凉拌大虾,涼拌大蝦
냉이나물,naenginamul,Shepherd's Purse Salad,ナズナのナムル,凉拌荠菜,涼拌薺菜
나물,namul,Salad,ナムル,素菜,素菜
깻잎순무침,kkaennipsunmuchim,Perilla Leaf Salad,エゴマの葉の和え物,凉拌苏子叶,涼拌蘇子葉
구절판,gujeolpan,Platter of Nine Delicacies,クジョルパン,九折坂,九折坂
곤드레나물,gondeurenamul,Thistle Salad,コンドゥレナムル,凉拌山蓟菜,涼拌山薊菜
고춧잎나물,gochunnipnamul,Chili Pepper Leaf Salad,唐辛子の葉のナムル,凉拌辣椒叶,涼拌辣椒葉
고사리나물,gosarinamul,Bracken Salad,ワラビのナムル,凉拌蕨菜,涼拌蕨菜
고구마순나물,gogumasunnamul,Sweet Potato Stalk Salad,さつまいもの茎のナムル,凉拌红薯梗,涼拌紅薯梗
간편잡채,ganpyeonjapchae,Stir-fried Glass Noodles and Vegetables,簡単チャプチェ,简便什锦炒粉丝,簡便什錦炒粉絲
가지나물,gajinamul,Eggplant Salad,なすのナムル,凉拌茄子,涼拌茄子
콩조림,kongjorim,Braised Beans,豆の煮付け,酱黄豆,醬黃豆
코다리조림,kodarijorim,Braised Half-dried Pollack,半干しスケトウダラの煮付け,炖半干明太鱼,燉半乾明太魚
조기조림,jogijorim,Braised Yellow Croaker,イシモチの煮付け,炖黄花鱼,燉黃花魚
장조림,jangjorim,Braised Beef in Soy Sauce,肉の煮付け,酱牛肉,醬牛肉
은대구조림,eundaegujorim,Braised Black Cod,銀だらの煮付け,炖银鳕鱼,燉銀鱈魚
우엉조림,ueongjorim,Braised Burdock Roots,ごぼうの煮付け,酱牛蒡,醬牛蒡
우럭조림,ureokjorim,Braised Rockfish,クロソイの煮付け,炖石斑鱼,燉石斑魚
연근조림,yeongeunjorim,Braised Lotus Roots,れんこんの煮付け,酱莲藕,醬蓮藕
생멸치조림,saengmyeolchijorim,Braised Anchovies,カタクチイワシの煮付け,辣炖鲜鳀鱼,辣燉鮮鳀魚
소고기 메추리알장조림,sogogimechurialjangjorim,Braised Beef and Quail Eggs in Soy Sauce,牛肉とうずらの卵の煮付け,酱牛肉鹌鹑蛋,醬牛肉鵪鶉蛋
북어조림,bugeojorim,Braised Dried Pollack,干しスケトウダラの煮付け,炖干明太鱼,燉幹明太魚
병어조림,byeongeojorim,Braised Pomfret,マナガツオの煮付け,辣炖平鱼,辣燉平魚
묵은지고등어조림,mugeunjigodeungeojorim,Braised Mackerel with Aged Kimchi,熟成キムチとサバの煮付け,炖酸辛奇青花鱼,燉酸辛奇青花魚
메추리알장조림,mechurialjangjorim,Braised Quail Eggs in Soy Sauce,うずらの卵の煮付け,酱鹌鹑蛋,醬鵪鶉蛋
땅콩조림,ttangkongjorim,Braised Peanuts,落花生の煮付け,酱花生,醬花生
두부조림,dubujorim,Braised Bean Curd,豆腐の煮付け,烧豆腐,燒豆腐
돼지고기 메추리알장조림,dwaejigogimechurialjangjorim,Braised Pork and Quail Eggs in Soy Sauce,豚肉とうずらの卵の煮付け,酱猪肉鹌鹑蛋,醬豬肉鵪鶉蛋
도미조림,domijorim,Braised Sea Bream,鯛の煮付け,炖鲷鱼,燉鯛魚
고등어조림,godeungeojorim,Braised Mackerel,サバの煮付け,炖青花鱼,燉青花魚
감자조림,gamjajorim,Braised Potatoes,じゃがいもの煮付け,酱土豆,醬土豆
갈치조림,galchijorim,Braised Cutlassfish,太刀魚の煮付け,辣炖带鱼,辣燉帶魚
가자미조림,gajamijorim,Braised Plaice,カレイの煮付け,炖鲽鱼,燉鰈魚
해물떡볶이,haemultteokbokki,Stir-fried Rice Cake and Seafood,海鮮トッポッキ,海鲜辣炒年糕,海鮮辣炒年糕
표고버섯볶음,pyogobeoseotbokkeum,Stir-fried Golden Oak Mushrooms,シイタケ炒め,炒香菇,炒香菇
철판순대볶음,cheolpansundaebokkeum,Stir-fried Blood Sausage on Hot Iron Plate,スンデの鉄板炒め,铁板血肠,鐵板血腸
즉석떡볶이,jeukseoktteokbokki,Stir-fried Rice Cake,即席トッポッキ,辣炒年糕锅,辣炒年糕鍋
쥐치채볶음,jwichichaebokkeum,Stir-fried Dried Filefish Strips,干しカワハギ炒め,炒干鳞鲀丝,炒乾鱗魨絲
죽순볶음,juksunbokkeum,Stir-fried Bamboo Shoots,竹の子炒め,炒竹笋,炒竹筍
주꾸미볶음,jukkumibokkeum,Stir-fried Webfoot Octopus,イイダコ炒め,辣炒八爪鱼,辣炒八爪魚
제육볶음,jeyukbokkeum,Stir-fried Pork,豚肉炒め,辣炒猪肉,辣炒豬肉
잔멸치볶음,janmyeolchibokkeum,Stir-fried Small Dried Anchovies,ざこ炒め,炒小鳀鱼,炒小鳀魚
오징어채볶음,ojingeochaebokkeum,Stir-fried Dried Squid Strips,干しイカ炒め,炒干鱿鱼丝,炒乾魷魚絲
오징어볶음,ojingeobokkeum,Stir-fried Squid,イカ炒め,辣炒鱿鱼,辣炒魷魚
오삼불고기,osambulgogi,Squid and Pork Belly Bulgogi,イカとサムギョプサルのプルゴギ,烤鱿鱼五花肉,烤魷魚五花肉
오리주물럭,orijumulleok,Spicy Stir-fried Duck,鴨肉コチュジャン炒め,调味炒鸭肉,調味炒鴨肉
어묵볶음,eomukbokkeum,Stir-fried Fishcake,練り物炒め,炒鱼糕,炒魚糕
양념치킨,yangnyeom chicken,Seasoned Fried Chicken,ヤンニョムチキン,调味炸鸡,調味炸雞
애호박볶음,aehobakbokkeum,Stir-fried Zucchini,ズッキーニ炒め,炒西葫芦,炒西葫蘆
순대볶음,sundaebokkeum,Stir-fried Blood Sausage,スンデ炒め,辣炒血肠,辣炒血腸
미역줄기볶음,miyeokjulgibokkeum,Stir-fried Seaweed Stems,茎ワカメ炒め,炒海带丝,炒海帶絲
물오징어불고기,murojingeobulgogi,Squid Bulgogi,イカのプルゴギ,烤鱿鱼,烤魷魚
머위나물볶음,meowinamulbokkeum,Stir-fried Butterbur,フキナムル炒め,炒蜂斗菜,炒蜂斗菜
매운닭발볶음,maeundakbalbokkeum,Spicy Stir-fried Chicken's Feet,辛味鶏足炒め,辣炒鸡爪,辣炒雞爪
마른새우볶음,mareunsaeubokkeum,Stir-fried Dried Shrimp,干し海老炒め,炒干虾,炒乾蝦
라볶이,rabokki,Stir-fried Instant Noodle,ラボキ,拉面辣炒年糕,拉麵辣炒年糕
떡볶이,tteokbokki,Stir-fried Rice Cake,トッポッキ,辣炒年糕,辣炒年糕
두부김치,dubukimchi,Bean Curd with Stir-fried Kimchi,豆腐キムチ,炒辛奇豆腐,炒辛奇豆腐
돼지껍데기볶음,dwaejikkeopdegibokkeum,Stir-fried Pork Rind,豚皮炒め,辣炒猪皮,辣炒豬皮
돼지고기볶음,dwaejigogibokkeum,Stir-fried Pork,豚肉炒め,炒猪肉,炒豬肉
돼지고기두루치기,dwaejigogiduruchigi,Stir-fried Pork,豚肉炒め,辣炒猪肉,辣炒豬肉
도치두루치기,dochiduruchigi,Stir-fried Pacific Spiny Lumpsucker,イボダンゴ炒め,辣炒圆鳍鱼,辣炒圓鰭魚
닭볶음탕,dakbokkeumtang,Spicy Braised Chicken,鶏肉の炒め煮,辣炖鸡块,辣燉雞塊
닭똥집볶음,dakttongjipbokkeum,Stir-fried Chicken Gizzard,砂肝炒め,炒鸡胗,炒雞胗
닭강정,dakgangjeong,Deep-fried and Braised Chicken,鶏肉の唐揚げ,调味炸鸡丁,調味炸雞丁
닭갈비,dakgalbi,Spicy Stir-fried Chicken,タッカルビ,铁板鸡,鐵板雞
느타리버섯볶음,neutaribeoseotbokkeum,Stir-fried Oyster Mushrooms,ヒラタケ炒め,炒平菇,炒平菇
낙지철판볶음,nakjicheolpanbokkeum,Stir-fried Octopus on Hot Iron Plate,テナガダコの鉄板炒め,铁板章鱼,鐵板章魚
낙지볶음,nakjibokkeum,Stir-fried Octopus,テナガダコ炒め,辣炒章鱼,辣炒章魚
꽈리고추멸치볶음,kkwarigochumyeolchibokkeum,Stir-fried Shishito Peppers and Dried Anchovies,ざこと獅子唐辛子炒め,炒小青椒鳀鱼,炒小青椒鳀魚
깻잎나물볶음,kkaennipnamulbokkeum,Stir-fried Perilla Leaves,エゴマの葉ナムル炒め,炒苏子叶,炒蘇子葉
김치볶음,kimchibokkeum,Stir-fried Kimchi,キムチ炒め,炒辛奇,炒辛奇
궁중떡볶이,gungjungtteokbokki,Royal Stir-fried Rice Cake,宮中トッポッキ,宫廷炒年糕,宮廷炒年糕
국물떡볶이,gungmultteokbokki,Stir-fried Rice Cake,スープトッポッキ,辣炒年糕汤,辣炒年糕湯
소곱창볶음,,Stir-fried Beef Small Intestine,コプチャン炒め,辣炒牛肠,辣炒牛腸
돼지곱창볶음,,Stir-fried Pork Small Intestine,コプチャン炒め,辣炒猪肠,辣炒豬腸
곰장어볶음,gomjangeobokkeum,Stir-fried Sea Eel,ヌタウナギ炒め,辣炒盲鳗,辣炒盲鰻
고구마맛탕,gogumamattang,Deep-fried and Sugar Glazed Sweet Potatoes,大学芋,拔丝地瓜,拔絲地瓜
감자볶음,gamja-bokkeum,Stir-fried Potatoes,じゃがいも炒め,炒土豆丝,炒土豆絲
가지볶음,gajibokkeum,Stir-fried Eggplant,なす炒め,炒茄子,炒茄子
훈제오리보쌈,hunjeoribossam,Kimchi Wraps with Pork and Smoked Duck,鴨の燻製ポサム,菜包熏鸭肉,菜包熏鴨肉
황태찜,hwangtaejjim,Braised Dried Pollack,干しスケトウダラの蒸し物,炖干明太鱼,燉幹明太魚
황기족발,hwanggijokbal,Braised Pigs' Feet with Milk Vetch Root,黄耆豚足,黄芪酱猪蹄,黃芪醬豬蹄
황기닭백숙,hwanggidakbaeksuk,Whole Chicken Soup with Milk Vetch Roots,黄耆入り鶏肉の水炊き,黄芪清炖鸡,黃芪清燉雞
홍어찜,hongeojjim,Steamed Skate,ガンギエイの蒸し物,蒸斑鳐,蒸斑鰩
홍어삼합,hongeosamhap,Skate Pork and Kimchi Combo,ガンギエイのサムハプ,斑鳐三合,斑鰩三合
해물찜,haemuljjim,Spicy Braised Seafood,海鮮の蒸し物,辣炖海鲜,辣燉海鮮
한방오리찜,hanbangorijjm,Steamed Whole Duck with Medical Herbs,鴨肉の韓方蒸し物,药膳炖鸭,藥膳燉鴨
한방오리백숙,hanbangoribaeksuk,Whole Duck Soup with Medicinal Herbs,鴨肉の韓方水炊き,药膳清炖鸭,藥膳清燉鴨
코다리찜,kodarijjim,Braised Half-dried Pollack,半干しスケトウダラの蒸し物,炖半干明太鱼,燉半幹明太魚
참꼬막찜,chamkkomakjjim,Steamed Cockles,ハイガイの蒸し物,蒸血蚶,蒸血蚶
찜닭,jjimdak,Braised Chicken,チムダク,炖鸡块,燉雞塊
족발,jokbal,Braised Pigs' Feet,豚足,酱猪蹄,醬豬蹄
조기찜,jogijjim,Steamed Yellow Croaker,イシモチの蒸し物,蒸黄花鱼,蒸黃花魚
전복갈비찜,jeonbokgalbijjim,Braised Short Ribs and Abalone,アワビとカルビの蒸し物,鲍鱼炖排骨,鮑魚燉排骨
오징어순대,ojingeosundae,Stuffed Squid,イカスンデ,鱿鱼血肠,魷魚血腸
오이선,oiseon,Stuffed Cucumber,飾りキュウリの甘酢がけ,黄瓜膳,黃瓜膳
오리백숙,oribaeksuk,Whole Duck Soup,鴨肉の水炊き,清炖鸭,清燉鴨
안동찜닭,Andongjjimdak,Andong Braised Chicken,アンドンチムダク,安东炖鸡块,安東燉雞塊
아바이순대,abaisundae,Abai Blood Sausage,アバイスンデ,阿巴伊血肠,阿巴伊血腸
아귀찜,agwi-jjim,Braised Spicy Monkfish,アンコウの蒸し物,辣炖安康鱼,辣燉鮟鱇魚
순대,sundae,Blood Sausage,スンデ,血肠,血腸
수육,suyuk,Boiled Beef SlicesBoiled Pork Slices,ゆで肉,白切肉,白切肉
소머리수육,someorisuyuk,Boiled Beef Head Meat,ゆで牛の頭部肉,白切牛头肉,白切牛頭肉
소꼬리찜,sokkorijjim,Braised Oxtail,牛テールの蒸し物,炖牛尾,燉牛尾
소갈비찜,sogalbijjim,Braised Beef Short Ribs,牛カルビの蒸し物,炖牛排骨,燉牛排骨
북어찜,bugeojjim,Steamed Dried Pollack,干しスケトウダラの蒸し物,炖干明太鱼,燉幹明太魚
보쌈,bossam,Kimchi Wraps with Pork,ポサム,菜包肉,菜包肉
병어찜,byeongeojjim,Steamed Pomfret,マナガツオの蒸し物,蒸平鱼,蒸平魚
민어찜,mineojjim,Steamed Croaker,ニベの蒸し物,蒸黄姑鱼,蒸黃姑魚
묵은지찜,mugeunjijjim,Braised Pork with Aged Kimchi,熟成キムチの蒸し物,炖酸辛奇,燉酸辛奇
명태찜,myeongtaejjim,Braised Pollack,スケトウダラの蒸し物,炖明太鱼,燉明太魚
머릿고기,meoritgogi,Pork Head Meat,ゆで頭部肉,白切猪头肉,白切豬頭肉
매운갈비찜,maeungalbijjim,Spicy Braised Short Ribs,辛味カルビの蒸し物,香辣炖排骨,香辣燉排骨
뚝배기계란찜,ttukbaegigyeranjjim,Steamed Egg Hot Pot,土鍋茶碗蒸し,砂锅鸡蛋羹,砂鍋雞蛋羹
등갈비묵은지찜,deunggalbimugeunjijjim,Braised Pork Rib with Aged Kimchi,バックリプと熟成キムチの蒸し物,炖脊排酸辛奇,燉脊排酸辛奇
돼지등뼈찜,dwaejideungppyeojjim,Brasied Pork Back-bone,豚の背骨の蒸し物,炖猪脊骨,燉豬脊骨
동태찜,dongtaejjim,Braised Pollack,スケトウダラの蒸し物,炖冻明太鱼,燉凍明太魚
도미찜,domijjim,Steamed Sea Bream,鯛の蒸し物,蒸鲷鱼,蒸鯛魚
도가니수육,doganisuyuk,Boiled Ox Knee,ゆで牛の膝軟骨,白切牛膝骨,白切牛膝骨
더덕보쌈,deodeokbossam,Kimchi Wraps with Pork and Deodeok,蔓人参のポサム,沙参菜包肉,沙參菜包肉
대구뽈찜,daeguppoljjim,Braised Codfish Head,たらの頭の蒸し物,炖鳕鱼头,燉鱈魚頭
대게찜,daegejjim,Steamed Snow Crab,ズワイガニの蒸し物,蒸雪蟹,蒸雪蟹
닭백숙,dakbaeksuk,Whole Chicken Soup,鶏肉の水炊き,清炖鸡,清燉雞
누룽지닭백숙,nurungjidakbaeksuk,Whole Chicken Soup with Scorched Rice,おこげ入り鶏肉の水炊き,锅巴清炖鸡,鍋巴清燉雞
낙지찜,nakjijjim,Braised Octopus,テナガダコの蒸し物,炖章鱼,燉章魚
꼬리찜,kkorijjim,Braised Oxtail,牛テールの蒸し物,炖牛尾,燉牛尾
굴보쌈,gulbossam,Kimchi Wraps with Pork and Oyster,カキのポサム,牡蛎菜包肉,牡蠣菜包肉
계란찜,gyeranjjim,Steamed Eggs,茶碗蒸し,鸡蛋羹,雞蛋羹
갈비찜,galbijjim,Braised Short Ribs,カルビの蒸し物,炖牛排骨,燉牛排骨
해물순두부찌개,haemulsundubujjigae,Seafood and Soft Bean Curd Stew,海鮮スンドゥブチゲ,海鲜嫩豆腐锅,海鮮嫩豆腐鍋
해물된장찌개,haemuldoenjangjjigae,Seafood Soybean Paste Stew,海鮮テンジャンチゲ,海鲜大酱汤,海鮮大醬湯
해물뚝배기,haemulttukbaegi,Seafood Hot Pot,海鮮土鍋,海鲜砂锅,海鮮砂鍋
콩비지찌개,kongbijijjigae,Pureed Soybean Stew,おからチゲ,黄豆渣锅,黃豆渣鍋
청국장찌개,cheonggukjangjjigae,Rich Soybean Paste Stew,チョングクチャンチゲ,清麴酱锅,清麴醬鍋
참치김치찌개,chamchikimchijjigae,Tuna and Kimchi Stew,ツナキムチチゲ,金枪鱼辛奇汤,金槍魚辛奇湯
차돌된장찌개,chadoldoenjangjjigae,Beef Brisket Soybean Paste Stew,牛のともばら肉入りテンジャンチゲ,牛胸肉大酱汤,牛胸肉大醬湯
전복뚝배기,jeonbokttukbaegi,Abalone Hot Pot,アワビ土鍋,鲍鱼砂锅,鮑魚砂鍋
양푼김치찌개,yangpunkimchijjigae,Kimchi Stew in Large Brass Bowl,ヤンプンキムチチゲ,铜盆辛奇汤,銅盆辛奇湯
애호박찌개,aehobakjjigae,Zucchini Stew,ズッキーニチゲ,西葫芦锅,西葫蘆鍋
시래기된장지짐,siraegidoenjangjijim,Braised Dried Radish Leaf Soybean Paste,干し菜っ葉のテンジャン煮込み,大酱炖干萝卜缨,大醬燉幹蘿蔔纓
순두부찌개,sundubujjigae,Soft Bean Curd Stew,スンドゥブチゲ,嫩豆腐锅,嫩豆腐鍋
생태찌개,saengtaejjigae,Pollack Stew,スケトウダラチゲ,鲜明太鱼锅,鮮明太魚鍋
부대찌개,budaejjigae,Sausage Stew,プデチゲ,火腿肠锅,火腿腸鍋
된장찌개,doenjangjjigae,Soybean Paste Stew,テンジャンチゲ,大酱汤,大醬湯
돼지고기김치찌개,dwaejigogikimchijjigae,Pork and Kimchi Stew,豚キムチチゲ,猪肉辛奇汤,豬肉辛奇湯
동태찌개,dongtaejjigae,Pollack Stew,スケトウダラチゲ,冻明太鱼汤,凍明太魚湯
도루묵찌개,dorumukjjigae,Spicy Sailfin Sandfish Stew,ハタハタのチゲ,银鱼锅,銀魚鍋
꽁치김치찌개,kkongchikimchijjigae,Saury and Kimchi Stew,サンマキムチチゲ,秋刀鱼辛奇汤,秋刀魚辛奇湯
김치찌개,kimchijjigae,Kimchi Stew,キムチチゲ,辛奇汤,辛奇湯
고추장찌개,gochujangjjigae,Red Chilli Paste Stew,コチュジャンチゲ,辣椒酱锅,辣椒醬鍋
강된장,gangdoenjang,Seasoned Soybean Paste,カンテンジャン,调味大酱,調味大醬
갈치찌개,galchijjigae,Cutlassfish Stew,太刀魚チゲ,带鱼锅,帶魚鍋
홍합탕,honghaptang,Mussel Soup,ムール貝スープ,贻贝汤,貽貝湯
홍어탕,hongeotang,Skate Soup,ガンギエイスープ,斑鳐汤,斑鰩湯
해물탕,haemultang,Spicy Seafood Stew,海鮮鍋,海鲜汤,海鮮湯
콩탕,Kongtang,Soybean Soup,大豆スープ,豆汤,豆湯
콩비지탕,kongbijitang,Pureed Soybean Soup,おからスープ,黄豆渣汤,黃豆渣湯
추어탕,Chueotang,Loach Soup,どじょうスープ,泥鳅汤,泥鰍湯
초계탕,chogyetang,Cold Chicken Soup,鶏肉の冷製スープ,醋鸡凉汤,醋雞涼湯
참게매운탕,chamgemaeuntang,Spicy Hairy Crab Stew,上海ガニの辛味スープ,鲜辣河蟹汤,鮮辣河蟹湯
조기매운탕,jogimaeuntang,Spicy Yellow Croaker Stew,イシモチの辛味スープ,鲜辣黄花鱼汤,鮮辣黃花魚湯
조개탕,Jogaetang,Clam Soup,貝のスープ,蛤蜊汤,蛤蜊湯
전복삼계탕,jeonboksamgyetang,Abalone and Ginseng Chicken Soup,アワビサムゲタン,鲍鱼参鸡汤,鮑魚參雞湯
장어탕,jangeotang,Eel Soup,ウナギスープ,鳗鱼汤,鰻魚湯
우족탕,ujoktang,Ox Feet Soup,牛足スープ,牛蹄汤,牛蹄湯
우럭매운탕,Ureokmaeuntang,Spicy Rockfish Stew,クロソイの辛味スープ,鲜辣石斑鱼汤,鮮辣石斑魚湯
우거지갈비탕,Ugeojigalbitang,Cabbage and Short Rib Soup,白菜カルビタン,干白菜排骨汤,乾白菜排骨湯
왕갈비탕,wanggalbitang,Beef Rib Soup,王カルビタン,大排骨汤,大排骨湯
영양한우갈비탕,Yeongyanghanugalbitang,Nutritious Korean Beef Rib Soup,栄養韓牛カルビタン,营养韩牛排骨汤,營養韓牛排骨湯
연포탕,Yeonpotang,Bean Curd Soup,豆腐スープ,豆腐清汤,豆腐清湯
양곰탕,yanggomtang,Beef Tripe Soup,牛の胃袋のコムタン,精熬牛胃汤,精熬牛胃湯
알탕,Altang,Spicy Fish Roe Soup,魚の卵スープ,鱼子汤,魚子湯
아귀탕,agwitang,Monkfish Soup,アンコウスープ,安康鱼汤,安康魚湯
쏘가리매운탕,Ssogarimaeuntang,,コウライケツギョの辛味スープ,鲜辣桂鱼汤,鮮辣桂魚湯
설렁탕,Seolleongtang,Ox Bone Soup,ソルロンタン,雪浓汤,雪濃湯
생태탕,saengtaetang,Pollack Soup,スケトウダラスープ,鲜明太鱼汤,鮮明太魚湯
삼계탕,Samgyetang,Ginseng Chicken Soup,サムゲタン,参鸡汤,蔘雞湯
사골우거지갈비탕,sagolugeojigalbitang,Korean Cabbage and Short Rib Soup,牛骨と白菜カルビタン,牛骨干白菜排骨汤,牛骨幹白菜排骨湯
복매운탕,Bokmaeuntang,Spicy Puffer Fish Stew,ふぐの辛味スープ,鲜辣,鮮辣河豚湯
복맑은탕,Bokmalgeuntang,Puffer Fish Soup,ふぐスープ,河豚清汤,河豚清湯
버섯들깨탕,beoseotdeulkkaetang,Mushroom and Perilla Seed Stew,きのことエゴマスープ,蘑菇紫苏籽汤,蘑菇紫蘇籽湯
민어탕,mineotang,Croaker Stew,ニベスープ,黄姑鱼汤,黃姑魚湯
메기매운탕,megimaeuntang,Spicy Catfish Stew,ナマズの辛味スープ,鲜辣鲶鱼汤,鮮辣鯰魚湯
매운탕,Maeuntang,Spicy Fish Stew,魚の辛味スープ,鲜辣鱼汤,鮮辣魚湯
롤삼계탕,Roll Samgyetang,Rolled Ginseng Chicken Soup,ロールサムゲタン,鸡肉卷参鸡汤,雞肉卷參雞湯
뚝배기불고기,Ttukbaegibulgogi,Hot Pot Bulgogi,土鍋プルゴギ,砂锅烤牛肉,砂鍋烤牛肉
뚜거리탕,Ttugeoritang,Spicy Floating Goby Stew,ウキゴリスープ,虾虎鱼汤,蝦虎魚湯
동태탕,dongtaetang,Pollack Soup,スケトウダラスープ,冻明太鱼汤,凍明太魚湯
도미매운탕,domimaeuntang,Spicy Sea Bream Stew,鯛の辛味スープ,鲜辣鲷鱼汤,鮮辣鯛魚湯
도미맑은탕,domimalgeuntang,Sea Bream Soup,鯛スープ,鲷鱼清汤,鯛魚清湯
도가니탕,Doganitang,Ox Knee Soup,牛の膝軟骨スープ,牛膝骨汤,牛膝骨湯
대합탕,daehaptang,Hard Clam Soup,ハマグリスープ,文蛤汤,文蛤湯
